ID,Activity,Timestamp,noise
2,Check  application  form completeness,2017-09-17 18:52:51.121,
2,Appraise property,2017-09-17 21:02:47.860,
2,Check credit history,2017-09-17 21:27:25.743,
2,start_event_Loan  application received,2017-09-17 21:27:25.743,true
2,Assess loan risk,2017-09-18 01:25:02.413,
2,Assess eligibility,2017-09-18 02:33:47.120,
2,Reject application,2017-09-18 02:49:07.564,
2,end_event_Loan application rejected,2017-09-18 03:35:56.914,
2,Verify repayment agreement,2017-09-18 03:35:56.914,true
2,End,2017-09-18 03:35:56.914,End
3,Start,2017-09-18 03:35:56.914,Start
3,end_event_Loan application rejected,2017-09-18 03:35:56.914,true
3,start_event_Loan  application received,2017-09-20 04:54:09.799,
3,Check  application  form completeness,2017-09-20 05:10:49.265,
3,Appraise property,2017-09-20 05:29:00.744,
3,end_event_Loan  application approved,2017-09-20 05:29:00.744,true
3,Check credit history,2017-09-20 05:44:09.057,
3,Assess loan risk,2017-09-20 05:57:53.656,
3,Assess eligibility,2017-09-20 06:41:56.603,
3,Check if home insurance quote is requested,2017-09-20 07:19:20.322,
3,Send acceptance pack,2017-09-20 08:16:56.756,
3,Send home insurance quote,2017-09-20 08:16:56.756,true
3,Verify repayment agreement,2017-09-20 10:02:51.947,
3,Cancel application,2017-09-20 10:35:56.536,
3,End,2017-09-20 11:24:01.763,End
3,end_event_Loan  application canceled,2017-09-20 11:24:01.763,
4,Start,2017-09-20 18:30:20.233,Start
4,start_event_Loan  application received,2017-09-20 18:30:20.233,
4,Check  application  form completeness,2017-09-20 21:20:16.118,
4,Check credit history,2017-09-20 21:34:52.597,
4,Appraise property,2017-09-21 00:19:55.874,
4,Assess loan risk,2017-09-21 01:01:55.387,
4,Assess eligibility,2017-09-21 01:49:58.023,
4,Check if home insurance quote is requested,2017-09-21 02:09:11.066,
4,Send acceptance pack,2017-09-21 02:36:21.044,
4,Verify repayment agreement,2017-09-21 05:00:44.151,
4,Approve application,2017-09-21 05:49:38.579,
4,End,2017-09-21 06:00:39.838,End
4,end_event_Loan  application approved,2017-09-21 06:00:39.838,
5,Start,2017-09-21 14:11:40.796,Start
5,start_event_Loan  application received,2017-09-21 14:11:40.796,
5,Check  application  form completeness,2017-09-21 14:35:18.284,
5,Appraise property,2017-09-21 16:19:46.303,
5,start_event_Loan  application received,2017-09-21 16:19:46.303,true
5,Check credit history,2017-09-21 16:43:20.474,
5,Assess loan risk,2017-09-21 17:12:03.254,
6,Start,2017-09-21 17:58:20.451,Start
6,Verify repayment agreement,2017-09-21 17:58:20.451,true
6,start_event_Loan  application received,2017-09-21 17:58:20.451,
5,Assess eligibility,2017-09-21 19:08:54.369,
6,Check  application  form completeness,2017-09-21 19:10:15.933,
6,Return application back to applicant,2017-09-21 19:33:28.142,
5,Reject application,2017-09-21 19:57:53.241,
5,end_event_Loan application rejected,2017-09-21 21:45:39.038,
5,End,2017-09-21 21:45:39.038,End
6,Receive updated application,2017-09-22 02:21:49.784,
6,Check  application  form completeness,2017-09-22 03:42:56.744,
6,Appraise property,2017-09-22 04:44:54.080,
7,start_event_Loan  application received,2017-09-22 09:43:10.927,
7,Start,2017-09-22 09:43:10.927,Start
6,Check credit history,2017-09-22 10:07:24.948,
6,Assess loan risk,2017-09-22 12:10:05.644,
7,Check  application  form completeness,2017-09-22 12:49:14.420,
7,Return application back to applicant,2017-09-22 14:22:31.019,
7,Receive updated application,2017-09-22 14:35:30.748,
6,Assess eligibility,2017-09-22 15:49:23.203,
6,Check if home insurance quote is requested,2017-09-22 15:50:15.271,
6,Send home insurance quote,2017-09-22 16:02:56.274,
6,Verify repayment agreement,2017-09-22 16:23:40.818,
7,Check  application  form completeness,2017-09-22 16:37:53.858,
7,Verify repayment agreement,2017-09-22 16:37:53.858,true
6,Approve application,2017-09-22 16:42:01.303,
7,Appraise property,2017-09-22 16:45:51.703,
7,Check credit history,2017-09-22 16:56:40.003,
6,end_event_Loan  application approved,2017-09-22 17:36:57.888,
6,End,2017-09-22 17:36:57.888,End
6,Assess eligibility,2017-09-22 17:36:57.888,true
7,Assess loan risk,2017-09-22 18:05:38.097,
7,Assess eligibility,2017-09-22 19:01:47.272,
7,Reject application,2017-09-22 20:32:51.862,
8,Approve application,2017-09-22 23:43:42.766,true
8,Start,2017-09-22 23:43:42.766,Start
7,end_event_Loan application rejected,2017-09-22 23:43:42.766,
7,End,2017-09-22 23:43:42.766,End
8,start_event_Loan  application received,2017-09-24 13:38:01.595,
8,Check  application  form completeness,2017-09-24 16:04:31.998,
8,Return application back to applicant,2017-09-24 16:07:06.116,
8,Receive updated application,2017-09-24 17:07:28.153,
8,Check  application  form completeness,2017-09-24 17:26:21.812,
8,Check credit history,2017-09-24 19:06:01.488,
8,Appraise property,2017-09-24 19:16:05.759,
8,Assess loan risk,2017-09-24 21:03:56.539,
8,Send home insurance quote,2017-09-24 21:03:56.539,true
8,Assess eligibility,2017-09-24 21:20:49.954,
8,Check if home insurance quote is requested,2017-09-24 21:27:05.480,
8,Send home insurance quote,2017-09-24 21:29:55.230,
8,Verify repayment agreement,2017-09-24 22:18:14.153,
8,Cancel application,2017-09-24 22:26:32.971,
8,end_event_Loan  application canceled,2017-09-25 01:09:37.973,
8,End,2017-09-25 01:09:37.973,End
9,Start,2017-09-26 09:44:17.579,Start
9,start_event_Loan  application received,2017-09-26 09:44:17.579,
9,Check  application  form completeness,2017-09-26 10:35:31.883,
9,Check credit history,2017-09-26 12:05:00.078,
9,Appraise property,2017-09-26 12:05:09.867,
9,Assess eligibility,2017-09-26 12:05:09.867,true
9,Assess loan risk,2017-09-26 12:58:42.740,
9,Assess eligibility,2017-09-26 14:42:54.717,
9,Check if home insurance quote is requested,2017-09-26 14:55:51.848,
9,Send acceptance pack,2017-09-26 15:38:46.047,
9,Verify repayment agreement,2017-09-26 16:31:19.244,
9,Cancel application,2017-09-26 19:04:09.285,
9,End,2017-09-26 19:13:45.400,End
9,end_event_Loan  application canceled,2017-09-26 19:13:45.400,
10,Start,2017-09-26 19:56:53.498,Start
10,start_event_Loan  application received,2017-09-26 19:56:53.498,
10,Check  application  form completeness,2017-09-26 20:00:18.190,
10,Return application back to applicant,2017-09-26 20:10:00.605,
11,start_event_Loan  application received,2017-09-26 20:44:46.376,
11,Start,2017-09-26 20:44:46.376,Start
11,Check  application  form completeness,2017-09-26 21:28:46.994,
10,Receive updated application,2017-09-26 22:09:55.671,
10,end_event_Loan application rejected,2017-09-26 22:09:55.671,true
11,Return application back to applicant,2017-09-26 22:22:43.078,
10,Check  application  form completeness,2017-09-26 23:33:24.431,
10,Check  application  form completeness,2017-09-26 23:33:24.431,true
10,Appraise property,2017-09-26 23:48:41.849,
11,Receive updated application,2017-09-27 00:23:45.830,
10,Check credit history,2017-09-27 01:20:15.595,
10,Assess loan risk,2017-09-27 02:48:03.209,
10,Assess eligibility,2017-09-27 03:09:28.681,
10,Reject application,2017-09-27 03:42:36.628,
11,Check  application  form completeness,2017-09-27 04:53:33.602,
11,Send acceptance pack,2017-09-27 04:53:33.602,true
11,Return application back to applicant,2017-09-27 04:54:35.111,
11,Receive updated application,2017-09-27 05:27:16.561,
11,Check  application  form completeness,2017-09-27 05:37:22.497,
11,Appraise property,2017-09-27 05:48:37.425,
12,Appraise property,2017-09-27 06:57:11.193,true
12,start_event_Loan  application received,2017-09-27 06:57:11.193,
12,Start,2017-09-27 06:57:11.193,Start
12,Check  application  form completeness,2017-09-27 07:28:06.754,
12,Check credit history,2017-09-27 07:52:56.648,
11,Check credit history,2017-09-27 08:07:30.673,
12,Assess loan risk,2017-09-27 08:24:21.772,
10,End,2017-09-27 08:40:14.018,End
10,end_event_Loan application rejected,2017-09-27 08:40:14.018,
11,Assess loan risk,2017-09-27 09:00:12.601,
11,Assess eligibility,2017-09-27 09:47:16.236,
12,Appraise property,2017-09-27 09:51:38.733,
12,Assess eligibility,2017-09-27 10:18:07.042,
12,Check if home insurance quote is requested,2017-09-27 12:08:17.354,
11,end_event_Loan application rejected,2017-09-27 12:33:32.967,true
11,Check if home insurance quote is requested,2017-09-27 12:33:32.967,
12,Send home insurance quote,2017-09-27 13:05:46.819,
12,Verify repayment agreement,2017-09-27 13:26:39.332,
12,Approve application,2017-09-27 13:40:03.438,
11,Send home insurance quote,2017-09-27 13:54:23.428,
11,Check  application  form completeness,2017-09-27 14:11:13.113,true
11,Verify repayment agreement,2017-09-27 14:11:13.113,
11,Cancel application,2017-09-27 14:16:22.968,
12,end_event_Loan  application approved,2017-09-27 14:19:42.913,
12,End,2017-09-27 14:19:42.913,End
11,End,2017-09-27 15:44:06.212,End
11,end_event_Loan  application canceled,2017-09-27 15:44:06.212,
13,start_event_Loan  application received,2017-09-29 11:46:07.544,
13,Start,2017-09-29 11:46:07.544,Start
13,Check  application  form completeness,2017-09-29 11:46:26.280,
13,Receive updated application,2017-09-29 11:46:26.280,true
13,Appraise property,2017-09-29 11:54:16.910,
13,Check credit history,2017-09-29 12:47:06.074,
13,Assess loan risk,2017-09-29 13:51:50.487,
13,Receive updated application,2017-09-29 13:51:50.487,true
14,start_event_Loan  application received,2017-09-29 18:18:45.890,
14,Check  application  form completeness,2017-09-29 18:20:30.048,
13,Assess eligibility,2017-09-29 18:34:40.293,
14,Return application back to applicant,2017-09-29 18:59:40.225,
14,Receive updated application,2017-09-29 19:58:37.785,
14,end_event_Loan  application approved,2017-09-29 20:42:38.570,true
14,Check  application  form completeness,2017-09-29 20:42:38.570,
13,Check if home insurance quote is requested,2017-09-29 21:22:33.802,
13,Send acceptance pack,2017-09-29 21:31:04.872,
14,Check credit history,2017-09-29 22:30:06.580,
14,Assess loan risk,2017-09-30 01:04:53.433,
14,Appraise property,2017-09-30 01:15:44.845,
13,Verify repayment agreement,2017-09-30 01:49:37.024,
13,Cancel application,2017-09-30 02:26:37.695,
14,Start,2017-09-30 02:34:25.590,Start
13,End,2017-09-30 02:34:25.590,End
13,Send acceptance pack,2017-09-30 02:34:25.590,true
13,end_event_Loan  application canceled,2017-09-30 02:34:25.590,
14,Send home insurance quote,2017-09-30 02:34:25.590,true
14,Assess eligibility,2017-09-30 03:20:50.113,
14,Assess loan risk,2017-09-30 03:20:50.113,true
14,Reject application,2017-09-30 03:52:43.489,
14,end_event_Loan application rejected,2017-09-30 05:19:42.857,
14,End,2017-09-30 05:19:42.857,End
15,start_event_Loan  application received,2017-09-30 06:47:02.476,
15,Start,2017-09-30 06:47:02.476,Start
15,Check  application  form completeness,2017-09-30 09:32:36.711,
15,Appraise property,2017-09-30 10:55:14.510,
16,start_event_Loan  application received,2017-09-30 11:23:42.734,
16,Start,2017-09-30 11:23:42.734,Start
15,Check credit history,2017-09-30 11:32:34.165,
15,Assess loan risk,2017-09-30 12:47:13.542,
15,Assess eligibility,2017-09-30 13:27:15.067,
15,Appraise property,2017-09-30 13:27:15.067,true
15,Check if home insurance quote is requested,2017-09-30 14:56:26.227,
15,Send home insurance quote,2017-09-30 15:11:04.207,
15,Check  application  form completeness,2017-09-30 15:11:04.207,true
15,Verify repayment agreement,2017-09-30 15:19:30.591,
15,Cancel application,2017-09-30 15:23:09.306,
15,End,2017-09-30 15:40:14.632,End
15,end_event_Loan  application canceled,2017-09-30 15:40:14.632,
16,Check  application  form completeness,2017-09-30 15:59:30.852,
17,Appraise property,2017-09-30 18:35:15.030,true
17,start_event_Loan  application received,2017-09-30 18:35:15.030,
17,Start,2017-09-30 18:35:15.030,Start
17,Check  application  form completeness,2017-09-30 18:59:10.812,
17,Return application back to applicant,2017-09-30 19:24:08.568,
16,Return application back to applicant,2017-09-30 19:47:00.232,
16,Receive updated application,2017-09-30 20:05:15.081,
17,end_event_Loan  application approved,2017-09-30 20:30:22.663,true
17,Receive updated application,2017-09-30 20:30:22.663,
16,Check  application  form completeness,2017-09-30 21:04:07.447,
16,Return application back to applicant,2017-09-30 21:44:10.657,
17,Check  application  form completeness,2017-09-30 22:02:52.065,
17,Return application back to applicant,2017-09-30 22:22:14.812,
16,Receive updated application,2017-09-30 22:35:05.785,
16,Check  application  form completeness,2017-09-30 22:42:36.237,
17,Receive updated application,2017-09-30 23:56:49.707,
16,Check credit history,2017-09-30 23:59:14.181,
17,Check  application  form completeness,2017-10-01 00:19:57.095,
17,Check credit history,2017-10-01 00:46:24.807,
17,Appraise property,2017-10-01 02:07:03.977,
17,Assess loan risk,2017-10-01 02:44:41.049,
16,Appraise property,2017-10-01 03:00:24.878,
16,Assess loan risk,2017-10-01 03:19:40.015,
16,Assess eligibility,2017-10-01 03:23:38.986,
17,Assess eligibility,2017-10-01 03:56:27.379,
17,Reject application,2017-10-01 03:57:45.004,
16,Send home insurance quote,2017-10-01 05:26:29.411,true
16,Reject application,2017-10-01 05:26:29.411,
17,end_event_Loan application rejected,2017-10-01 05:31:00.408,
17,End,2017-10-01 05:31:00.408,End
16,end_event_Loan application rejected,2017-10-01 06:57:23.374,
16,End,2017-10-01 06:57:23.374,End
18,Start,2017-10-01 10:45:16.515,Start
18,start_event_Loan  application received,2017-10-01 10:45:16.515,
18,end_event_Loan  application canceled,2017-10-01 10:45:16.515,true
18,Check  application  form completeness,2017-10-01 10:50:17.397,
18,Return application back to applicant,2017-10-01 11:26:04.439,
18,Receive updated application,2017-10-01 11:33:56.672,
18,Check  application  form completeness,2017-10-01 12:31:14.388,
18,Return application back to applicant,2017-10-01 12:59:59.457,
18,Receive updated application,2017-10-01 14:26:53.542,
18,Check  application  form completeness,2017-10-01 14:45:35.025,
18,Appraise property,2017-10-01 15:10:15.935,
18,Check credit history,2017-10-01 15:22:53.192,
18,Assess loan risk,2017-10-01 15:59:08.385,
18,Assess eligibility,2017-10-01 16:39:51.686,
18,end_event_Loan  application canceled,2017-10-01 16:39:51.686,true
18,Check if home insurance quote is requested,2017-10-01 17:02:50.515,
18,Send home insurance quote,2017-10-01 18:48:00.177,
18,Verify repayment agreement,2017-10-01 19:40:59.440,
18,Cancel application,2017-10-01 20:40:18.879,
18,end_event_Loan  application canceled,2017-10-01 21:26:43.147,
18,End,2017-10-01 21:26:43.147,End
19,Start,2017-10-02 18:47:46.254,Start
19,start_event_Loan  application received,2017-10-02 18:47:46.254,
19,Check  application  form completeness,2017-10-02 20:21:24.768,
19,Return application back to applicant,2017-10-02 20:23:07.043,
19,Receive updated application,2017-10-02 21:48:46.311,
19,Check  application  form completeness,2017-10-02 21:50:23.880,
19,Check if home insurance quote is requested,2017-10-02 21:50:23.880,true
19,Return application back to applicant,2017-10-02 23:27:52.054,
19,Receive updated application,2017-10-02 23:52:56.418,
19,Check  application  form completeness,2017-10-02 23:57:39.055,
19,Return application back to applicant,2017-10-03 00:41:12.957,
19,Receive updated application,2017-10-03 01:46:18.378,
19,Check  application  form completeness,2017-10-03 03:02:34.843,
20,start_event_Loan  application received,2017-10-03 03:23:22.624,
20,Start,2017-10-03 03:23:22.624,Start
20,Check  application  form completeness,2017-10-03 04:26:15.952,
20,Appraise property,2017-10-03 04:45:23.497,
19,Check credit history,2017-10-03 04:58:50.875,
19,Appraise property,2017-10-03 05:26:28.017,
20,Check credit history,2017-10-03 05:29:44.292,
20,Assess loan risk,2017-10-03 05:40:59.596,
19,Assess loan risk,2017-10-03 06:44:28.347,true
19,Assess loan risk,2017-10-03 06:44:28.347,
20,Assess eligibility,2017-10-03 06:47:52.130,
20,Reject application,2017-10-03 07:08:47.900,
20,Approve application,2017-10-03 07:53:03.649,true
20,End,2017-10-03 07:53:03.649,End
20,end_event_Loan application rejected,2017-10-03 07:53:03.649,
19,Assess eligibility,2017-10-03 08:46:11.513,
19,Reject application,2017-10-03 12:23:35.179,
19,end_event_Loan application rejected,2017-10-03 12:39:29.199,
19,start_event_Loan  application received,2017-10-03 12:39:29.199,true
19,End,2017-10-03 12:39:29.199,End
21,Start,2017-10-05 04:38:53.692,Start
21,start_event_Loan  application received,2017-10-05 04:38:53.692,
21,Check  application  form completeness,2017-10-05 05:08:48.802,
21,Check credit history,2017-10-05 06:36:37.844,
21,Appraise property,2017-10-05 06:38:46.240,
21,Assess loan risk,2017-10-05 06:41:45.164,
21,Assess eligibility,2017-10-05 07:32:05.291,
21,Reject application,2017-10-05 07:35:16.727,
21,end_event_Loan application rejected,2017-10-05 09:01:18.574,
21,End,2017-10-05 09:01:18.574,End
22,Start,2017-10-06 13:14:43.590,Start
22,start_event_Loan  application received,2017-10-06 13:14:43.590,
22,Check  application  form completeness,2017-10-06 14:00:00.033,
22,Return application back to applicant,2017-10-06 14:45:57.505,
22,Receive updated application,2017-10-06 15:38:53.584,
22,Check  application  form completeness,2017-10-06 16:36:59.917,
22,Return application back to applicant,2017-10-06 16:57:22.589,
22,Receive updated application,2017-10-06 17:13:56.474,
22,Check  application  form completeness,2017-10-06 18:42:48.320,
22,Return application back to applicant,2017-10-06 20:24:38.479,
22,Receive updated application,2017-10-06 20:32:45.230,
22,Check  application  form completeness,2017-10-06 20:57:37.912,
22,Return application back to applicant,2017-10-06 21:50:26.723,
22,Receive updated application,2017-10-06 23:05:15.252,
22,Assess eligibility,2017-10-06 23:05:15.252,true
22,Check  application  form completeness,2017-10-06 23:23:48.525,
22,Return application back to applicant,2017-10-06 23:56:36.392,
22,Receive updated application,2017-10-07 00:29:01.639,
22,Check  application  form completeness,2017-10-07 01:05:13.980,
22,Check credit history,2017-10-07 02:09:48.504,
22,Appraise property,2017-10-07 03:36:30.968,
22,Assess loan risk,2017-10-07 03:44:29.336,
22,Assess eligibility,2017-10-07 04:31:08.937,
22,Check if home insurance quote is requested,2017-10-07 05:25:18.806,
22,Send acceptance pack,2017-10-07 07:08:42.058,
22,Verify repayment agreement,2017-10-07 07:34:04.652,
22,Approve application,2017-10-07 08:10:15.853,
22,end_event_Loan  application approved,2017-10-07 08:30:07.145,
22,End,2017-10-07 08:30:07.145,End
23,Start,2017-10-08 00:37:09.489,Start
23,start_event_Loan  application received,2017-10-08 00:37:09.489,
23,Receive updated application,2017-10-08 00:37:09.489,true
23,Check  application  form completeness,2017-10-08 01:55:10.600,
23,Check credit history,2017-10-08 02:01:44.755,
24,start_event_Loan  application received,2017-10-08 02:16:38.317,
24,Start,2017-10-08 02:16:38.317,Start
24,Check  application  form completeness,2017-10-08 02:33:22.722,
23,Appraise property,2017-10-08 03:19:01.968,
24,Check credit history,2017-10-08 03:28:41.289,
24,Assess loan risk,2017-10-08 03:29:20.966,
24,Assess loan risk,2017-10-08 03:29:20.966,true
23,Reject application,2017-10-08 04:07:39.622,true
23,Assess loan risk,2017-10-08 04:07:39.622,
24,Appraise property,2017-10-08 04:12:43.588,
24,Assess eligibility,2017-10-08 05:03:26.281,
24,Reject application,2017-10-08 06:39:06.253,
23,Assess eligibility,2017-10-08 07:04:21.260,
23,Reject application,2017-10-08 07:19:39.483,
24,end_event_Loan application rejected,2017-10-08 07:36:40.157,
24,End,2017-10-08 07:36:40.157,End
23,end_event_Loan application rejected,2017-10-08 08:08:56.234,
23,End,2017-10-08 08:08:56.234,End
25,Start,2017-10-08 08:36:55.217,Start
25,start_event_Loan  application received,2017-10-08 08:36:55.217,
25,Check  application  form completeness,2017-10-08 08:58:15.591,
25,Return application back to applicant,2017-10-08 09:13:16.775,
25,Receive updated application,2017-10-08 09:16:10.410,
25,Check  application  form completeness,2017-10-08 10:45:06.818,
25,Appraise property,2017-10-08 12:07:11.872,
25,Check credit history,2017-10-08 12:28:08.714,
25,Assess loan risk,2017-10-08 15:03:58.035,
25,Approve application,2017-10-08 15:03:58.035,true
25,Assess eligibility,2017-10-08 18:09:32.487,
25,Reject application,2017-10-08 21:22:22.014,
25,end_event_Loan application rejected,2017-10-08 22:14:25.888,
25,End,2017-10-08 22:14:25.888,End
26,start_event_Loan  application received,2017-10-11 02:00:25.801,
26,Start,2017-10-11 02:00:25.801,Start
26,Check  application  form completeness,2017-10-11 02:02:26.760,
26,Appraise property,2017-10-11 03:16:26.749,
26,Check credit history,2017-10-11 04:05:36.586,
26,Approve application,2017-10-11 04:05:36.586,true
27,Start,2017-10-11 04:57:51.757,Start
27,start_event_Loan  application received,2017-10-11 04:57:51.757,
26,Assess loan risk,2017-10-11 05:02:18.352,
27,Check  application  form completeness,2017-10-11 05:02:49.007,
26,Assess eligibility,2017-10-11 06:16:13.538,
26,Cancel application,2017-10-11 06:16:13.538,true
26,Check if home insurance quote is requested,2017-10-11 06:52:03.494,
26,Send home insurance quote,2017-10-11 07:47:08.649,
26,Verify repayment agreement,2017-10-11 09:32:45.374,
26,Cancel application,2017-10-11 09:33:35.509,
28,Start,2017-10-11 10:13:21.988,Start
28,start_event_Loan  application received,2017-10-11 10:13:21.988,
26,End,2017-10-11 11:05:56.486,End
26,end_event_Loan  application canceled,2017-10-11 11:05:56.486,
27,Appraise property,2017-10-11 11:25:05.964,
27,Check credit history,2017-10-11 11:45:00.284,
28,Check  application  form completeness,2017-10-11 11:45:44.649,
28,Check credit history,2017-10-11 12:01:45.316,
29,start_event_Loan  application received,2017-10-11 12:42:15.287,
29,Start,2017-10-11 12:42:15.287,Start
27,Assess loan risk,2017-10-11 12:51:37.038,
29,Check  application  form completeness,2017-10-11 12:53:58.905,
27,Assess eligibility,2017-10-11 12:56:08.794,
28,Appraise property,2017-10-11 13:04:08.482,
29,Appraise property,2017-10-11 13:05:58.986,
29,Check credit history,2017-10-11 13:19:11.774,
29,Assess loan risk,2017-10-11 13:44:26.999,
28,Appraise property,2017-10-11 14:12:33.966,true
28,Assess loan risk,2017-10-11 14:12:33.966,
28,Assess eligibility,2017-10-11 14:20:05.180,
30,start_event_Loan  application received,2017-10-11 15:15:17.164,
30,Start,2017-10-11 15:15:17.164,Start
28,Reject application,2017-10-11 15:18:16.238,
29,end_event_Loan application rejected,2017-10-11 15:35:51.757,true
29,Assess eligibility,2017-10-11 15:35:51.757,
27,Reject application,2017-10-11 16:03:50.725,
28,end_event_Loan application rejected,2017-10-11 16:03:58.939,
28,End,2017-10-11 16:03:58.939,End
31,start_event_Loan  application received,2017-10-11 17:03:33.677,
31,Start,2017-10-11 17:03:33.677,Start
27,End,2017-10-11 17:15:20.590,End
27,end_event_Loan application rejected,2017-10-11 17:15:20.590,
29,Reject application,2017-10-11 18:13:22.759,
31,Check  application  form completeness,2017-10-11 18:19:09.218,
31,Appraise property,2017-10-11 18:35:15.212,
30,Check  application  form completeness,2017-10-11 18:36:07.919,
30,Reject application,2017-10-11 18:36:07.919,true
29,End,2017-10-11 18:48:34.823,End
29,end_event_Loan application rejected,2017-10-11 18:48:34.823,
30,Return application back to applicant,2017-10-11 19:09:56.760,
30,Receive updated application,2017-10-11 19:35:15.644,
30,Check  application  form completeness,2017-10-11 19:51:18.114,
30,Return application back to applicant,2017-10-11 20:03:13.727,
31,Check credit history,2017-10-11 21:33:42.615,
30,Receive updated application,2017-10-11 22:13:54.724,
30,Check  application  form completeness,2017-10-11 22:39:41.886,
31,Assess loan risk,2017-10-11 22:54:00.788,
30,Return application back to applicant,2017-10-11 23:08:06.054,
31,Assess eligibility,2017-10-11 23:50:09.977,
31,Check if home insurance quote is requested,2017-10-12 00:16:37.407,
30,Receive updated application,2017-10-12 00:25:30.461,
31,Send home insurance quote,2017-10-12 00:27:23.952,
31,Verify repayment agreement,2017-10-12 02:07:13.431,
31,Approve application,2017-10-12 02:32:36.621,
30,Check  application  form completeness,2017-10-12 03:10:07.110,
31,end_event_Loan  application approved,2017-10-12 04:09:00.253,
31,End,2017-10-12 04:09:00.253,End
30,Appraise property,2017-10-12 04:18:17.472,
30,end_event_Loan  application canceled,2017-10-12 05:44:20.801,true
30,Check credit history,2017-10-12 05:44:20.801,
30,Verify repayment agreement,2017-10-12 14:13:29.806,true
30,Assess loan risk,2017-10-12 14:13:29.806,
30,Assess eligibility,2017-10-12 14:35:57.352,
30,Reject application,2017-10-12 14:37:14.957,
32,Start,2017-10-12 14:56:57.969,Start
32,start_event_Loan  application received,2017-10-12 14:56:57.969,
32,Check  application  form completeness,2017-10-12 15:20:11.704,
30,Approve application,2017-10-12 15:37:05.415,true
30,end_event_Loan application rejected,2017-10-12 15:37:05.415,
30,End,2017-10-12 15:37:05.415,End
32,Appraise property,2017-10-12 15:40:10.021,
33,start_event_Loan  application received,2017-10-12 17:16:30.936,
33,Start,2017-10-12 17:16:30.936,Start
33,Check  application  form completeness,2017-10-12 17:19:29.320,
33,Appraise property,2017-10-12 18:21:51.661,
32,Check credit history,2017-10-12 18:39:26.218,
32,Reject application,2017-10-12 18:59:25.378,true
32,Assess loan risk,2017-10-12 18:59:25.378,
32,Assess eligibility,2017-10-12 19:33:40.544,
32,Check if home insurance quote is requested,2017-10-12 19:45:07.783,
32,Send home insurance quote,2017-10-12 20:15:40.109,
32,Verify repayment agreement,2017-10-12 20:27:19.287,
33,Check credit history,2017-10-12 20:30:19.069,
33,Assess loan risk,2017-10-12 22:01:42.306,
33,Assess eligibility,2017-10-12 22:03:24.315,
33,Check if home insurance quote is requested,2017-10-12 22:24:07.835,
32,Cancel application,2017-10-12 22:28:04.527,
33,Send acceptance pack,2017-10-12 22:40:42.377,
33,Verify repayment agreement,2017-10-12 23:07:44.136,
32,end_event_Loan  application canceled,2017-10-12 23:08:55.594,
32,End,2017-10-12 23:08:55.594,End
33,Approve application,2017-10-12 23:38:24.786,
33,end_event_Loan  application approved,2017-10-13 01:19:48.717,
33,End,2017-10-13 01:19:48.717,End
34,Start,2017-10-13 20:42:08.664,Start
34,start_event_Loan  application received,2017-10-13 20:42:08.664,
34,Check  application  form completeness,2017-10-13 20:42:25.610,
34,Return application back to applicant,2017-10-13 22:24:59.570,
34,Receive updated application,2017-10-13 23:39:57.548,
34,Check  application  form completeness,2017-10-14 00:27:28.881,
34,Return application back to applicant,2017-10-14 01:18:06.884,
